	Animal		Weight	
A(n)	White-tailed jackrabbit	weighs, on average,	3	kilograms
A(n)	Large bamboo rat	weighs, on average,	3	kilograms
A(n)	Spectacled hare-wallaby	weighs, on average,	3	kilograms
A(n)	Small Indian civet	weighs, on average,	3	kilograms
A(n)	Kinkajou	weighs, on average,	3	kilograms
A(n)	Long-snouted mongoose	weighs, on average,	3	kilograms
A(n)	Oriental small-clawed otter	weighs, on average,	3	kilograms
A(n)	Virginia opossum	weighs, on average,	3	kilograms
A(n)	Tree hyrax	weighs, on average,	3	kilograms
A(n)	Papuan mountain wallaby	weighs, on average,	3	kilograms
A(n)	Brown-bearded saki	weighs, on average,	3	kilograms
A(n)	Black uakari	weighs, on average,	3	kilograms
A(n)	White-nosed bearded saki	weighs, on average,	3	kilograms
A(n)	Hairy-rumpted agouti	weighs, on average,	3	kilograms
A(n)	Pale fox	weighs, on average,	3	kilograms
A(n)	Sand cat	weighs, on average,	3	kilograms
A(n)	Brush-tailed porcupine	weighs, on average,	3	kilograms
A(n)	Northern naked-tailed armadillo	weighs, on average,	3	kilograms
A(n)	Indonesian porcupine	weighs, on average,	3	kilograms
A(n)	Mexican agouti	weighs, on average,	3	kilograms
A(n)	Corsac fox	weighs, on average,	3	kilograms
A(n)	White-faced capuchin	weighs, on average,	3	kilograms
A(n)	Azara's agouti	weighs, on average,	3	kilograms
A(n)	Guyanan agouti	weighs, on average,	3	kilograms
A(n)	Brown capuchin	weighs, on average,	3	kilograms
A(n)	Ring-tailed lemur	weighs, on average,	3	kilograms
A(n)	Weeping capuchin	weighs, on average,	3	kilograms
A(n)	Gray cuscus	weighs, on average,	3	kilograms
A(n)	Crowned lemur	weighs, on average,	3	kilograms
A(n)	Yellow-throated marten	weighs, on average,	3	kilograms
A(n)	Black lemur	weighs, on average,	3	kilograms
A(n)	White-fronted capuchin	weighs, on average,	2	kilograms
A(n)	Bush hyrax	weighs, on average,	2	kilograms
A(n)	Indian spotted chevrotain	weighs, on average,	2	kilograms
A(n)	Ground cuscus	weighs, on average,	2	kilograms
A(n)	Swift fox	weighs, on average,	2	kilograms
A(n)	Banded palm civet	weighs, on average,	2	kilograms
A(n)	Brush-tailed possum	weighs, on average,	2	kilograms
A(n)	Indian fox	weighs, on average,	2	kilograms
A(n)	Cape hare	weighs, on average,	2	kilograms
A(n)	Chinese pangolin	weighs, on average,	2	kilograms
A(n)	Grison	weighs, on average,	2	kilograms
A(n)	Aye-aye	weighs, on average,	2	kilograms
A(n)	Small-toothed palm civet	weighs, on average,	2	kilograms
A(n)	Striped-necked mongoose	weighs, on average,	2	kilograms
A(n)	Royal antelope	weighs, on average,	2	kilograms
A(n)	Little spotted cat	weighs, on average,	2	kilograms
A(n)	Panther genet	weighs, on average,	2	kilograms
A(n)	Mongoose	weighs, on average,	2	kilograms
A(n)	Andean hairy armadillo	weighs, on average,	2	kilograms
A(n)	Central American agouti	weighs, on average,	2	kilograms
A(n)	Black-footed cat	weighs, on average,	2	kilograms
A(n)	Banded hare-wallaby	weighs, on average,	2	kilograms
A(n)	Mongoose lemur	weighs, on average,	2	kilograms
A(n)	Kit fox	weighs, on average,	2	kilograms
A(n)	Hairy armadillo	weighs, on average,	2	kilograms
A(n)	Asian long-tailed porcupine	weighs, on average,	2	kilograms
A(n)	Black giant squirrel	weighs, on average,	2	kilograms
A(n)	Mexican tree porcupine	weighs, on average,	2	kilograms
A(n)	Indian giant squirrel	weighs, on average,	2	kilograms
A(n)	Asiatic brush-tailed porcupine	weighs, on average,	2	kilograms
A(n)	Black-legged mongoose	weighs, on average,	2	kilograms
A(n)	Burmese ferret badger	weighs, on average,	2	kilograms
A(n)	African palm civet	weighs, on average,	2	kilograms
A(n)	Hog-nosed skunk	weighs, on average,	2	kilograms
A(n)	Island gray fox	weighs, on average,	2	kilograms
A(n)	Small-spotted genet	weighs, on average,	2	kilograms
A(n)	Crab-eating mongoose	weighs, on average,	2	kilograms
A(n)	Large-spotted genet	weighs, on average,	2	kilograms
A(n)	Old World rabbit	weighs, on average,	2	kilograms
A(n)	Monk saki	weighs, on average,	2	kilograms
A(n)	Hodgson's giant flying squirrel	weighs, on average,	2	kilograms
A(n)	Red-bellied lemur	weighs, on average,	2	kilograms
A(n)	Slender-tailed cloud rat	weighs, on average,	2	kilograms
A(n)	Red giant flying squirrel	weighs, on average,	2	kilograms
A(n)	Hairy tree porcupine	weighs, on average,	2	kilograms
A(n)	Greater bamboo lemur	weighs, on average,	2	kilograms
A(n)	Tasmanian bettong	weighs, on average,	2	kilograms
A(n)	Ruddy mongoose	weighs, on average,	2	kilograms
A(n)	Beech marten	weighs, on average,	2	kilograms
A(n)	Red and white giant flying squirrel	weighs, on average,	2	kilograms
A(n)	Scaly-tailed possum	weighs, on average,	2	kilograms
A(n)	Indian giant flying squirrel	weighs, on average,	2	kilograms
A(n)	Japanese giant flying squirrel	weighs, on average,	2	kilograms
A(n)	Long-footed potoroo	weighs, on average,	2	kilograms
A(n)	Abyssinian genet	weighs, on average,	2	kilograms
A(n)	Snowshoe rabbit	weighs, on average,	2	kilograms
A(n)	Brindled bandicoot	weighs, on average,	2	kilograms
A(n)	Short-nosed echidna	weighs, on average,	2	kilograms
A(n)	Malagasy civet	weighs, on average,	2	kilograms
A(n)	Mountain viscacha	weighs, on average,	2	kilograms
A(n)	Southern opossum	weighs, on average,	2	kilograms
A(n)	Pichi	weighs, on average,	2	kilograms
A(n)	Woylie	weighs, on average,	2	kilograms
A(n)	La Plata three-banded armadillo	weighs, on average,	2	kilograms
A(n)	Gambian rat	weighs, on average,	2	kilograms
A(n)	Brown's hutia	weighs, on average,	2	kilograms
A(n)	Guianan saki	weighs, on average,	1	kilograms
A(n)	Seven-banded armadillo	weighs, on average,	1	kilograms
A(n)	Golden bamboo lemur	weighs, on average,	1	kilograms
A(n)	Potoroo	weighs, on average,	1	kilograms
A(n)	Short-tailed mongoose	weighs, on average,	1	kilograms
A(n)	Talapoin	weighs, on average,	1	kilograms
A(n)	Muskrat	weighs, on average,	1	kilograms
A(n)	Rusty-spotted cat	weighs, on average,	1	kilograms
A(n)	Greater gliding possum	weighs, on average,	1	kilograms
A(n)	Bamboo lemur	weighs, on average,	1	kilograms
A(n)	Banded mongoose	weighs, on average,	1	kilograms
A(n)	Rufous hare-wallaby	weighs, on average,	1	kilograms
A(n)	Burrowing bettong	weighs, on average,	1	kilograms
A(n)	Flying lemur (glider)	weighs, on average,	1	kilograms
A(n)	Giant rat	weighs, on average,	1	kilograms
A(n)	European pine marten	weighs, on average,	1	kilograms
A(n)	Rabbit-bandicoot or bilby	weighs, on average,	1	kilograms
A(n)	Small-eared galago	weighs, on average,	1	kilograms
A(n)	Hispaniolan hutia	weighs, on average,	1	kilograms
A(n)	Fennec	weighs, on average,	1	kilograms
A(n)	Riverine or bushman rabbit	weighs, on average,	1	kilograms
A(n)	Moonrat	weighs, on average,	1	kilograms
A(n)	Duck-billed platypus	weighs, on average,	1	kilograms
A(n)	Peruvian mountain viscacha	weighs, on average,	1	kilograms
A(n)	Rufous spiny bandicoot	weighs, on average,	1	kilograms
A(n)	Nabarlek	weighs, on average,	1	kilograms
A(n)	Malagasy giant rat	weighs, on average,	1	kilograms
A(n)	Southern bushy-tailed olingo	weighs, on average,	1	kilograms
A(n)	Olingo	weighs, on average,	1	kilograms
A(n)	Marsh cottontail rabbit	weighs, on average,	1	kilograms
A(n)	Potto	weighs, on average,	1	kilograms
A(n)	Gray monk saki	weighs, on average,	1	kilograms
A(n)	Northern bettong	weighs, on average,	1	kilograms
A(n)	Three-banded armadillo	weighs, on average,	1	kilograms
A(n)	Equatorial saki	weighs, on average,	1	kilograms
A(n)	Pale giant squirrel	weighs, on average,	1	kilograms
A(n)	Indian flying fox	weighs, on average,	1	kilograms
A(n)	Eastern cottontail	weighs, on average,	1	kilograms
A(n)	Mountain beaver	weighs, on average,	1	kilograms
A(n)	Black-tailed prairie dog	weighs, on average,	1	kilograms
A(n)	Coppery titi	weighs, on average,	1	kilograms
A(n)	Greater galago	weighs, on average,	1	kilograms
A(n)	Quoll	weighs, on average,	1	kilograms
A(n)	Sable	weighs, on average,	1	kilograms
A(n)	Servaline genet	weighs, on average,	1	kilograms
A(n)	Lemuroid ringtail possum	weighs, on average,	1	kilograms
A(n)	Black-footed ferret	weighs, on average,	1	kilograms
A(n)	Ringtail	weighs, on average,	1	kilograms
A(n)	Cuban solenodon	weighs, on average,	1	kilograms
A(n)	Japanese marten	weighs, on average,	1	kilograms
A(n)	Blanford's fox	weighs, on average,	1	kilograms
A(n)	Haitian solenodon	weighs, on average,	1	kilograms
A(n)	Little grison	weighs, on average,	1	kilograms
A(n)	Hooded skunk	weighs, on average,	1	kilograms
A(n)	Rock cavy	weighs, on average,	1	kilograms
A(n)	South American squirrel monkey	weighs, on average,	1	kilograms
A(n)	Striped polecat, zorilla	weighs, on average,	1	kilograms
A(n)	White-eared opossum	weighs, on average,	1	kilograms
A(n)	New England cottontail rabbit	weighs, on average,	1	kilograms
A(n)	Cacomistle	weighs, on average,	1	kilograms
A(n)	Tenrec	weighs, on average,	1	kilograms
A(n)	Black-footed tree rat	weighs, on average,	1	kilograms
A(n)	Audubon's cottontail rabbit	weighs, on average,	1	kilograms
A(n)	Gunnison's prairie dog	weighs, on average,	1	kilograms
A(n)	Slow loris	weighs, on average,	1	kilograms
A(n)	Western quoll	weighs, on average,	1	kilograms
A(n)	American marten	weighs, on average,	1	kilograms
A(n)	Lemurine night monkey	weighs, on average,	1	kilograms
A(n)	Noisy night monkey	weighs, on average,	1	kilograms
A(n)	Large flying fox	weighs, on average,	1	kilograms
A(n)	Chaco tuco-tuco	weighs, on average,	1	kilograms
A(n)	Greater long-nosed bandicoot	weighs, on average,	1	kilograms
A(n)	Golden-bellied water rat	weighs, on average,	1	kilograms
A(n)	Ring-tailed possum	weighs, on average,	1	kilograms
A(n)	Azara's opossum	weighs, on average,	1	kilograms
A(n)	Leeser hairy armadillo	weighs, on average,	1	kilograms
A(n)	European polecat	weighs, on average,	1	kilograms
A(n)	Dusky titi	weighs, on average,	1	kilograms
A(n)	Northern night monkey	weighs, on average,	1	kilograms
A(n)	Javan mongoose	weighs, on average,	1	kilograms
A(n)	Eastern fox squirrel	weighs, on average,	1	kilograms
A(n)	Malagasy ring-tailed mongoose	weighs, on average,	1	kilograms
A(n)	Bolivian titi	weighs, on average,	1	kilograms
A(n)	Long-nosed cusimanse	weighs, on average,	1	kilograms
A(n)	Central American squirrel monkey	weighs, on average,	1	kilograms
A(n)	Red-tailed sportive lemur	weighs, on average,	1	kilograms
A(n)	Meerkat	weighs, on average,	1	kilograms
A(n)	Spectacled flying fox	weighs, on average,	1	kilograms
A(n)	Acouchi	weighs, on average,	1	kilograms
A(n)	Long-nosed bandicoot	weighs, on average,	1	kilograms
A(n)	Nuttall's cottontail rabbit	weighs, on average,	1	kilograms
A(n)	Crested rat	weighs, on average,	1	kilograms
A(n)	Western European hedgehog	weighs, on average,	1	kilograms
A(n)	Algerian hedgehog	weighs, on average,	1	kilograms
A(n)	Guinea pig	weighs, on average,	1	kilograms
A(n)	Eastern European hedgehog	weighs, on average,	1	kilograms
A(n)	Abert's squirrel	weighs, on average,	1	kilograms
A(n)	Southern brown bandicoot	weighs, on average,	1	kilograms
A(n)	Water opossum (yapok)	weighs, on average,	1	kilograms
A(n)	Weasel sportive lemur	weighs, on average,	1	kilograms
A(n)	Banded linsang	weighs, on average,	1	kilograms
A(n)	Brush rabbit	weighs, on average,	1	kilograms
A(n)	Narrow-striped mongoose	weighs, on average,	1	kilograms
A(n)	Comoro black flying fox	weighs, on average,	1	kilograms
A(n)	Gray-headed flying fox	weighs, on average,	1	kilograms
A(n)	New Guinean bandicoot	weighs, on average,	1	kilograms
A(n)	Black flying fox	weighs, on average,	1	kilograms
A(n)	Ferret badger	weighs, on average,	1	kilograms
A(n)	Rock squirrel	weighs, on average,	1	kilograms
A(n)	Bahamian hutia	weighs, on average,	1	kilograms
A(n)	Golden lion tamarin	weighs, on average,	1	kilograms
A(n)	New Guinea spiny bandicoot	weighs, on average,	1	kilograms
A(n)	Lesser bamboo rat	weighs, on average,	1	kilograms
A(n)	Cape grey mongoose	weighs, on average,	1	kilograms
A(n)	Chinchilla	weighs, on average,	1	kilograms
A(n)	Peruvian guinea pig	weighs, on average,	1	kilograms
A(n)	Bolivian squirrel monkey	weighs, on average,	1	kilograms
A(n)	Eurasian red squirrel	weighs, on average,	1	kilograms
A(n)	Striped ground squirrel	weighs, on average,	1	kilograms
A(n)	Red-bellied squirrel	weighs, on average,	1	kilograms
A(n)	Spotted skunk	weighs, on average,	1	kilograms
A(n)	African pygmy (four-toed) hedgehog	weighs, on average,	1	kilograms
A(n)	Yellow mongoose	weighs, on average,	1	kilograms
A(n)	European mink	weighs, on average,	1	kilograms
A(n)	South African ground squirrel	weighs, on average,	1	kilograms
A(n)	Fluffy glider	weighs, on average,	1	kilograms
A(n)	Golden-rumped lion tamarin	weighs, on average,	1	kilograms
A(n)	Siberian weasel	weighs, on average,	1	kilograms
A(n)	Goeldi's monkey	weighs, on average,	1	kilograms
A(n)	Midas tamarin	weighs, on average,	1	kilograms
A(n)	Black-chested mustached tamarin	weighs, on average,	1	kilograms
A(n)	Marbled polecat	weighs, on average,	1	kilograms
A(n)	Golden-rumped elephant shrew	weighs, on average,	1	kilograms
A(n)	Golden-headed lion tamarin	weighs, on average,	1	kilograms
A(n)	Eastern gray squirrel	weighs, on average,	1	kilograms
A(n)	Pemba flying fox	weighs, on average,	1	kilograms
A(n)	Northern quoll	weighs, on average,	1	kilograms
A(n)	Black-mantled tamarin	weighs, on average,	1	kilograms
A(n)	Emperor tamarin	weighs, on average,	1	kilograms
A(n)	Black-bellied hamster	weighs, on average,	1	kilograms
A(n)	Armored rat	weighs, on average,	1	kilograms
A(n)	Red-chested mustached tamarin	weighs, on average,	1	kilograms
A(n)	Spiny rat	weighs, on average,	1	kilograms
A(n)	Musky rat kangaroo	weighs, on average,	1	kilograms
A(n)	Slender mongoose	weighs, on average,	1	kilograms
A(n)	Geoffroy's tamarin	weighs, on average,	less than 1	kilograms
A(n)	Brazilian bare-faced tamarin	weighs, on average,	less than 1	kilograms
A(n)	Silvery-brown bare-face tamarin	weighs, on average,	less than 1	kilograms
A(n)	Variegated squirrel	weighs, on average,	less than 1	kilograms
A(n)	Golden bandicoot	weighs, on average,	less than 1	kilograms
A(n)	Numbat	weighs, on average,	less than 1	kilograms
A(n)	Franklin's ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Saddlebacked tamarin	weighs, on average,	less than 1	kilograms
A(n)	Mauritius flying fox	weighs, on average,	less than 1	kilograms
A(n)	Yellow-toothed cavy	weighs, on average,	less than 1	kilograms
A(n)	Variable flying fox	weighs, on average,	less than 1	kilograms
A(n)	Gray four-eyed opossum	weighs, on average,	less than 1	kilograms
A(n)	Cotton-top tamarin	weighs, on average,	less than 1	kilograms
A(n)	Brown four-eyed opossum	weighs, on average,	less than 1	kilograms
A(n)	Ryukyu flying fox	weighs, on average,	less than 1	kilograms
A(n)	Guayaquil squirrel	weighs, on average,	less than 1	kilograms
A(n)	Moluccan naked-backed fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Western gray squirrel	weighs, on average,	less than 1	kilograms
A(n)	Pygmy rabbit	weighs, on average,	less than 1	kilograms
A(n)	Pygmy loris	weighs, on average,	less than 1	kilograms
A(n)	Squirrel glider	weighs, on average,	less than 1	kilograms
A(n)	Barbary ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Quaira spiny rat	weighs, on average,	less than 1	kilograms
A(n)	Fork-marked lemur	weighs, on average,	less than 1	kilograms
A(n)	Prevost's squirrel	weighs, on average,	less than 1	kilograms
A(n)	Texas pocket gopher	weighs, on average,	less than 1	kilograms
A(n)	Greater dwarf lemur	weighs, on average,	less than 1	kilograms
A(n)	Fat-tailed dwarf lemur	weighs, on average,	less than 1	kilograms
A(n)	Brazilian spiny rat	weighs, on average,	less than 1	kilograms
A(n)	Red-tailed squirrel	weighs, on average,	less than 1	kilograms
A(n)	Checkered elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	Thick-tailed opossum	weighs, on average,	less than 1	kilograms
A(n)	Cayenne spiny rat	weighs, on average,	less than 1	kilograms
A(n)	Rodriguez flying fox	weighs, on average,	less than 1	kilograms
A(n)	Woolly opossum	weighs, on average,	less than 1	kilograms
A(n)	Great jerboa	weighs, on average,	less than 1	kilograms
A(n)	Philippine tree shrew	weighs, on average,	less than 1	kilograms
A(n)	Richardson's ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Geoffroy's marmoset	weighs, on average,	less than 1	kilograms
A(n)	Weid's black-tufted-ear marmoset	weighs, on average,	less than 1	kilograms
A(n)	Long-eared desert hedgehog	weighs, on average,	less than 1	kilograms
A(n)	Brazilian guinea pig	weighs, on average,	less than 1	kilograms
A(n)	Common yellow-toothed cavy	weighs, on average,	less than 1	kilograms
A(n)	Bushy-tailed woodrat	weighs, on average,	less than 1	kilograms
A(n)	Mueller's giant Sunda rat	weighs, on average,	less than 1	kilograms
A(n)	Greater stick-nest rat	weighs, on average,	less than 1	kilograms
A(n)	Hammer-headed fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Central American woolly opossum	weighs, on average,	less than 1	kilograms
A(n)	Red-legged sun squirrel	weighs, on average,	less than 1	kilograms
A(n)	Black four-eyed opossum	weighs, on average,	less than 1	kilograms
A(n)	Striped possum	weighs, on average,	less than 1	kilograms
A(n)	Lyle's flying fox	weighs, on average,	less than 1	kilograms
A(n)	Western needle-clawed galago	weighs, on average,	less than 1	kilograms
A(n)	Horse-tailed squirrel	weighs, on average,	less than 1	kilograms
A(n)	South African hedgehog	weighs, on average,	less than 1	kilograms
A(n)	Black-pencilled marmoset	weighs, on average,	less than 1	kilograms
A(n)	Straw-colored fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Little red flying fox	weighs, on average,	less than 1	kilograms
A(n)	Norway rat	weighs, on average,	less than 1	kilograms
A(n)	Eastern woodrat	weighs, on average,	less than 1	kilograms
A(n)	Belding's ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Gundi	weighs, on average,	less than 1	kilograms
A(n)	Great gerbil	weighs, on average,	less than 1	kilograms
A(n)	Andean spiny rat	weighs, on average,	less than 1	kilograms
A(n)	White-naped weasel	weighs, on average,	less than 1	kilograms
A(n)	Peters's climbing rat	weighs, on average,	less than 1	kilograms
A(n)	Armored spiny rat	weighs, on average,	less than 1	kilograms
A(n)	Dwarf mongoose	weighs, on average,	less than 1	kilograms
A(n)	Cascade golden-mantled ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Allen's squirrel galago	weighs, on average,	less than 1	kilograms
A(n)	Pallas's squirrel	weighs, on average,	less than 1	kilograms
A(n)	Fire-footed rope squirrel	weighs, on average,	less than 1	kilograms
A(n)	Yellow-faced pocket gopher	weighs, on average,	less than 1	kilograms
A(n)	Golden-backed tree rat	weighs, on average,	less than 1	kilograms
A(n)	Chinchilla-rat	weighs, on average,	less than 1	kilograms
A(n)	Silky anteater	weighs, on average,	less than 1	kilograms
A(n)	Small pika	weighs, on average,	less than 1	kilograms
A(n)	Calabar angwantibo	weighs, on average,	less than 1	kilograms
A(n)	Gray-bellied squirrel	weighs, on average,	less than 1	kilograms
A(n)	White-tufted-ear marmoset	weighs, on average,	less than 1	kilograms
A(n)	Black-shouldered opossum	weighs, on average,	less than 1	kilograms
A(n)	Giant mole-rat	weighs, on average,	less than 1	kilograms
A(n)	Slender loris	weighs, on average,	less than 1	kilograms
A(n)	Desert woodrat	weighs, on average,	less than 1	kilograms
A(n)	Southern plains woodrat	weighs, on average,	less than 1	kilograms
A(n)	Degus	weighs, on average,	less than 1	kilograms
A(n)	Euphrates jerboa	weighs, on average,	less than 1	kilograms
A(n)	Shark Bay Islands barred bandicoot	weighs, on average,	less than 1	kilograms
A(n)	Greater hedgehog tenrec	weighs, on average,	less than 1	kilograms
A(n)	East African mole rat	weighs, on average,	less than 1	kilograms
A(n)	Thomas's rope squirrel	weighs, on average,	less than 1	kilograms
A(n)	European ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Smith's bush squirrel	weighs, on average,	less than 1	kilograms
A(n)	Fat sand rat	weighs, on average,	less than 1	kilograms
A(n)	Four-toed elephant shrew	weighs, on average,	less than 1	kilograms
A(n)	White-throated woodrat	weighs, on average,	less than 1	kilograms
A(n)	Red squirrel	weighs, on average,	less than 1	kilograms
A(n)	Northern tree shrew	weighs, on average,	less than 1	kilograms
A(n)	Dassie rat	weighs, on average,	less than 1	kilograms
A(n)	Rat	weighs, on average,	less than 1	kilograms
A(n)	Tree shrew	weighs, on average,	less than 1	kilograms
A(n)	Little golden-mantled flying fox	weighs, on average,	less than 1	kilograms
A(n)	Large tree shrew	weighs, on average,	less than 1	kilograms
A(n)	Tuan	weighs, on average,	less than 1	kilograms
A(n)	Senegal galago	weighs, on average,	less than 1	kilograms
A(n)	Bolivian squirrel	weighs, on average,	less than 1	kilograms
A(n)	Plantain squirrel	weighs, on average,	less than 1	kilograms
A(n)	Deppe's squirrel	weighs, on average,	less than 1	kilograms
A(n)	Kintampo rope squirrel	weighs, on average,	less than 1	kilograms
A(n)	Guianan squirrel	weighs, on average,	less than 1	kilograms
A(n)	Hispid cotton rat	weighs, on average,	less than 1	kilograms
A(n)	Shaw's jird	weighs, on average,	less than 1	kilograms
A(n)	Cape mole-rat	weighs, on average,	less than 1	kilograms
A(n)	Lesser hedgehog tenrec	weighs, on average,	less than 1	kilograms
A(n)	Streaked tenrec	weighs, on average,	less than 1	kilograms
A(n)	Damaraland mole-rat	weighs, on average,	less than 1	kilograms
A(n)	Speke's gundi	weighs, on average,	less than 1	kilograms
A(n)	Plains pocket gopher	weighs, on average,	less than 1	kilograms
A(n)	Gray tree rat	weighs, on average,	less than 1	kilograms
A(n)	South African galago	weighs, on average,	less than 1	kilograms
A(n)	Three-striped ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Brandt's hamster	weighs, on average,	less than 1	kilograms
A(n)	Thirteen-lined ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Orange-bellied Himalayan squirrel	weighs, on average,	less than 1	kilograms
A(n)	Round-tailed ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Silvery mole-rat	weighs, on average,	less than 1	kilograms
A(n)	Palestine mole rat	weighs, on average,	less than 1	kilograms
A(n)	Chozchoz	weighs, on average,	less than 1	kilograms
A(n)	Golden-mantled ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Nelson's antelope squirrel	weighs, on average,	less than 1	kilograms
A(n)	Long-tailed weasel	weighs, on average,	less than 1	kilograms
A(n)	Australian false vampire bat	weighs, on average,	less than 1	kilograms
A(n)	Vinogradov's jird	weighs, on average,	less than 1	kilograms
A(n)	Northern flying squirrel	weighs, on average,	less than 1	kilograms
A(n)	Northern palm squirrel	weighs, on average,	less than 1	kilograms
A(n)	Indian gerbil	weighs, on average,	less than 1	kilograms
A(n)	Vlei rat	weighs, on average,	less than 1	kilograms
A(n)	Banner-tailed kangaroo rat	weighs, on average,	less than 1	kilograms
A(n)	Spectral tarsier	weighs, on average,	less than 1	kilograms
A(n)	Brush-tailed rabbit rat	weighs, on average,	less than 1	kilograms
A(n)	Little ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	Ear-spot squirrel	weighs, on average,	less than 1	kilograms
A(n)	Greater Egyptian jerboa	weighs, on average,	less than 1	kilograms
A(n)	Green bush squirrel	weighs, on average,	less than 1	kilograms
A(n)	African mole rat	weighs, on average,	less than 1	kilograms
A(n)	Siberian flying squirrel	weighs, on average,	less than 1	kilograms
A(n)	Bush rat	weighs, on average,	less than 1	kilograms
A(n)	Collared pika	weighs, on average,	less than 1	kilograms
A(n)	Leadbeater's possum	weighs, on average,	less than 1	kilograms
A(n)	Harris's antelope squirrel	weighs, on average,	less than 1	kilograms
A(n)	Asian garden dormouse	weighs, on average,	less than 1	kilograms
A(n)	Western tarsier	weighs, on average,	less than 1	kilograms
A(n)	Carpentarian rock rat	weighs, on average,	less than 1	kilograms
A(n)	European water vole	weighs, on average,	less than 1	kilograms
A(n)	Philippine tarsier	weighs, on average,	less than 1	kilograms
A(n)	Siberian five-toed jerboa	weighs, on average,	less than 1	kilograms
A(n)	Botta's pocket gopher	weighs, on average,	less than 1	kilograms
A(n)	Desert kangaroo rat	weighs, on average,	less than 1	kilograms
A(n)	Australian swamp rat	weighs, on average,	less than 1	kilograms
A(n)	Mulgara	weighs, on average,	less than 1	kilograms
A(n)	Savanna gerbil	weighs, on average,	less than 1	kilograms
A(n)	Sugar glider	weighs, on average,	less than 1	kilograms
A(n)	Ermine	weighs, on average,	less than 1	kilograms
A(n)	Nile kusu	weighs, on average,	less than 1	kilograms
A(n)	Leschenault's rousette	weighs, on average,	less than 1	kilograms
A(n)	Congo rope squirrel	weighs, on average,	less than 1	kilograms
A(n)	White-tailed mouse	weighs, on average,	less than 1	kilograms
A(n)	Shorttailed opossum	weighs, on average,	less than 1	kilograms
A(n)	White-tailed antelope squirrel	weighs, on average,	less than 1	kilograms
A(n)	Golden hamster	weighs, on average,	less than 1	kilograms
A(n)	Northern pocket gopher	weighs, on average,	less than 1	kilograms
A(n)	Long-haired rousette	weighs, on average,	less than 1	kilograms
A(n)	Central rock rat	weighs, on average,	less than 1	kilograms
A(n)	Persian jird	weighs, on average,	less than 1	kilograms
A(n)	Tuco-tuco	weighs, on average,	less than 1	kilograms
A(n)	Indian palm squirrel	weighs, on average,	less than 1	kilograms
A(n)	Mohave ground squirrel	weighs, on average,	less than 1	kilograms
A(n)	North American pika	weighs, on average,	less than 1	kilograms
A(n)	Libyan jird	weighs, on average,	less than 1	kilograms
A(n)	Coruro	weighs, on average,	less than 1	kilograms
A(n)	Eastern chipmunk	weighs, on average,	less than 1	kilograms
A(n)	European mole, common mole	weighs, on average,	less than 1	kilograms
A(n)	Ansell's mole-rat	weighs, on average,	less than 1	kilograms
A(n)	Eastern aquatic mole	weighs, on average,	less than 1	kilograms
A(n)	Short bare-tailed opossum	weighs, on average,	less than 1	kilograms
A(n)	Splendid climbing mouse	weighs, on average,	less than 1	kilograms
A(n)	Long-eared chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Siberian chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Arctic lemming	weighs, on average,	less than 1	kilograms
A(n)	Garden dormouse	weighs, on average,	less than 1	kilograms
A(n)	Greater spear-nosed bat	weighs, on average,	less than 1	kilograms
A(n)	Gambian epauletted fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Wahlberg's epauletted fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Acacia rat	weighs, on average,	less than 1	kilograms
A(n)	Greater short-nosed fruit bat	weighs, on average,	less than 1	kilograms
A(n)	Red-tailed chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Robinson's mouse opossum	weighs, on average,	less than 1	kilograms
A(n)	Cape gerbil	weighs, on average,	less than 1	kilograms
A(n)	Western pocket gopher	weighs, on average,	less than 1	kilograms
A(n)	Malabar spiny dormouse	weighs, on average,	less than 1	kilograms
A(n)	Townsend's chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Slender squirrel	weighs, on average,	less than 1	kilograms
A(n)	Bunny or coney rat	weighs, on average,	less than 1	kilograms
A(n)	Colorado chipmunk	weighs, on average,	less than 1	kilograms
A(n)	Smoky mouse	weighs, on average,	less than 1	kilograms
A(n)	Speckled marsupial mouse	weighs, on average,	less than 1	kilograms
A(n)	Norway lemming	weighs, on average,	less than 1	kilograms
A(n)	Sand-colored rat	weighs, on average,	less than 1	kilograms
A(n)	Greater bulldog bat	weighs, on average,	less than 1	kilograms
